0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
45.78500464927453,31.407796152356347,39.464761640763626,46.028705051139525,39.27713634621033,34.988535811586814,53.94123780743429,49.90643400385723,40.78479432488108,30.921995415785062,41.003325662332685,55.545595905169336,50.53111995247008,44.27218139834053,36.1398621852088
41.09985724502809,28.382778762772993,38.038679808548,40.934152234072585,39.99934407722282,30.878635029369008,48.831524005518396,44.735844505924106,35.602711558997896,27.03493432497438,42.19170183505864,50.59911390566644,45.47577543813135,39.6573220835477,31.043615628404748
38.44063498024009,27.3893988919488,37.81506736179624,37.87560173201386,41.01886407373774,28.84734181603148,45.79701750259458,41.62783391114118,32.49026068581371,25.368092003794622,43.429397557135275,47.70013650650484,42.44105261258052,37.06484839159516,28.045451703248922
40.32428614416517,30.61734801728187,41.1131881232987,37.36055014771226,44.129320169821455,31.584455215851854,46.63640244536296,41.54508548535331,32.66997763614424,28.395482082055732,46.459148528312525,49.002570415486275,41.762797302664566,39.070767381813525,29.2989029342922
41.48920978882337,31.09635508210284,41.373269210377465,38.66206725235933,43.92222455794468,32.44956528175105,47.9519944231041,42.871493568865915,34.00323434962962,29.08180804641193,46.16422252227302,50.2749663813115,43.043642219628026,40.205157111258416,30.554236178845457
38.4104064443009,30.873651540469456,41.713684817079084,34.359843841981316,45.67375210441173,30.779377378888846,43.99812669580031,38.6054778498261,29.84197667887514,28.191590176811772,48.156686788199295,46.60557062301601,38.749298348376044,37.27942628475624,27.094279859618702
39.80584528622734,32.01927913953179,42.786024821315415,35.16355590239567,46.39960166562433,32.138257416613996,45.19826411829062,39.54910895175791,30.939731402421863,29.43681931217893,48.81298025775916,47.90198263768317,39.45970982153682,38.68532901979093,28.46386865617142
40.01910456783165,35.009935351115445,45.93573285717599,32.404883227892924,50.19520911429193,34.11735252747424,43.76786457080058,37.14219671167842,29.3210605236701,32.1066120854946,52.689296356099376,47.02364805055165,36.398586180939546,39.13230674489543,28.647015363093566
43.839899313878234,30.67226857323221,39.76233553769099,43.135897150931854,40.735977138569055,33.52320775680163,51.47325720890796,47.1106526680139,38.04209534347238,29.602892740700927,42.70190988979681,53.31559819669876,47.60956466739828,42.393987531133085,33.71153692659327
43.48576254094863,28.670250904656164,36.7485325185868,44.997494711966795,37.081664429759805,32.46701796134869,52.095500984829606,48.602318998641316,39.41787696270694,28.3675185159541,38.99455533159873,53.44533014654918,49.5815712020693,41.93335360327545,34.34237561967578
45.0012319050775,31.732922566697233,40.62228913822679,44.03716134308557,41.22729424891034,34.67444569441325,52.56914886521761,48.08363221173009,39.05068607985375,30.738490461168624,43.097993837150824,54.4529894689799,48.47708752231633,43.557337358672136,34.82558855161503
